base_model,task,finetuning,epochs,batch_size,adapter_type,finetuning+adapter,eval_accuracy_list,mean_accuracy,std_accuracy,train_runtime_list,mean_runtime,std_runtime
PubMedBert,HoC,model+adapter,25,16,LP_REL,model+adapter LP_REL,"[0.8563218390804598, 0.8433908045977011, 0.8476464247215235, 0.8318361480416816, 0.8487243981315128]",0.8455839229145757,0.008989305086949194,"[10485.8113, 10504.9117, 10509.4481, 10511.7258, 10517.727]",10505.92478,12.154591957240802
PubMedBert,HoC,only_model,25,16,only_model,only_model,"[0.8448275862068966, 0.853448275862069, 0.8483650736615164, 0.8393819619116062, 0.8537549407114624]",0.84795556767071,0.006067562316289643,"[2457.5441, 2457.0193, 2460.2907, 2458.2799, 2460.3917]",2458.70514,1.5595980725815302
PubMedBert,MedNLI,model+adapter,25,16,EP,model+adapter EP,"[0.8379662627702542, 0.8355904015205512, 0.8360655737704918]",0.8365407460204324,0.0012571876032618954,"[7938.5525, 7953.3498, 7951.509]",7947.803766666667,8.064526481036214
PubMedBert,MedNLI,model+adapter,25,16,EP_NB,model+adapter EP_NB,"[0.837015918270373, 0.8348776431456403, 0.8308386790211452]",0.8342440801457195,0.0031369766881030165,"[5267.2009, 5331.3117, 5280.9442]",5293.152266666667,33.75390848425334
PubMedBert,MedNLI,model+adapter,25,16,LP,model+adapter LP,"[0.8353528153955809, 0.8363031598954621, 0.8351152292706105]",0.8355904015205512,0.0006285938016309581,"[7931.0087, 7947.1552, 7950.81]",7942.991300000001,10.536907412994049
PubMedBert,MedNLI,model+adapter,25,16,LP_FULL,model+adapter LP_FULL,"[0.8348776431456403, 0.8384414350201949, 0.8382038488952245]",0.8371743090203533,0.0019925153441687233,"[2461.6567, 2460.7646, 2461.4013]",2461.2742,0.45943052793651773
PubMedBert,MedNLI,model+adapter,25,16,LP_NB,model+adapter LP_NB,"[0.8310762651461154, 0.8336897125207888, 0.8294131622713233]",0.8313930466460758,0.0021558022632163698,"[6928.2462, 5236.7138, 5209.8386]",5791.599533333334,984.4566027647394
PubMedBert,MedNLI,model+adapter,25,16,LP_REL,model+adapter LP_REL,"[0.8287004038964124, 0.8358279876455215, 0.8294131622713233]",0.8313138512710857,0.003925567032990812,"[5200.8854, 5263.0511, 5187.0892]",5217.008566666666,40.46628152453965
PubMedBert,MedNLI,only_model,25,16,only_model,only_model,"[0.8289379900213828, 0.8291755761463531, 0.8336897125207888]",0.8306010928961749,0.002677459650649703,"[1590.5303, 1566.8459, 1564.791]",1574.0557333333334,14.304340727322215
PubMedBert,MedQA,model+adapter,25,4,EP,model+adapter EP,"[0.3533745947539051, 0.34571175950486294]",0.349543177129384,0.005418442767712995,"[32719.1916, 33442.7256]",33080.9586,511.61579781902725
